0 Zero
1 One
2 Two
3 Tree
4 Four
5 Five
6 Six
7 Seven
8 Ate
9 Niner
A Alpha
B Bravo
C Charlie
D Delta
E Echo
F Foxtrot
G Golf
H Hotel
I India
J Juliette
K Kilo
L Lima
M Mike
N November
O Oscar
P Poppa
Q Quebec
R Romeo
S Sierra
T Tango
U Uniform
V Victor
W Whisky
X X-Ray
Y Yankee
Z Zulu
AAL American
ACA AirCanada
AFR AirFrance
ASP AirSprint
BAW Speedbird
CAV Calm-Air
CFC Canforce
CME Comet
CMS Access
CNK Chinook
COA Continental
CRQ Creebec
DAL Dellta
DHC Dehavilland
DLH Lufthansa
EGF EagleFlight
EIN Shamrock
FAB FirstAir
FDX Feddex
FEX FlightExec
GGN Georgian
GLR Glacier
JAL Japanair
KAL Korean
KEE Key-stone
LXJ Flexjet
MAL MorningStar
MAX Max-Aviation
MES Mesaba
MPH Martin-Air
NCB North-Caribou
NWT Territorial
JZA Jazz
MAL Morningstar
MPE Empress
NVC Navcan
PAG Perimeter
TGO Trans-port
WJA West-jet
WEW Westwind
PCO Pasco
RRR Ascot
SKK Skylink
UAL United
UPS YouPee-Ess
